variable_name,description
MNB7D,NA - What was applied to the cord: ash
MNB7E,NA - What was applied to the cord: animal dung
MNB7F,NA - What was applied to the cord: CS
MNB7G,NA - What was applied to the cord: CS
MNB7H,NA - What was applied to the cord: CS
MNB7I,NA - What was applied to the cord: CS
MNB7J,NA - What was applied to the cord: CS
MNB7X,NA - What was applied to the cord: other
MNB7Z,NA - What was applied to the cord: don't know
MNB10,NA - Was chlorhexidine applied to the cord at a 4392
MNB11,NA - Time after cord was cut chlorhexidine was
MNB12,NA - Days chlorhexidine was applied to the cord 4416
MH3A,NA - During antenatal care discussed: where to
MH3B,NA - During antenatal care discussed: if wanted 4428
MH3C,NA - During antenatal care discussed: transport 4434
MH3D,NA - During antenatal care discussed: source of 4440
MH3E,NA - During antenatal care discussed: asking so 4446
MH3F,NA - During antenatal care discussed: find heal 4452
MH3G,NA - During antenatal care discussed: CS
MH3H,NA - During antenatal care discussed: CS
MH3I,NA - During antenatal care discussed: CS
MH5,NA - Healthcare provider measure blood pressure 4476
MH6,NA - While in labor wanted to have someone by y 4482
MH7,NA - While in labor the person you wanted by yo 4488
MH8,NA - While in labor how much time the person yo 4494
MH9,NA - Reason the person you wanted by your side
MH10,NA - During delivery wanted to have someone by
MH11,NA - During delivery the person you wanted by y 4512
MH12,NA - During delivery how much time the person y 4518
MH13,NA - Reason the person you wanted by your side
MH14,NA - Was an instrument used to help pull out th 4530
MH15,NA - While in labor or delivery did feel ignore 4536
MH16,NA - While in labor or delivery did have privac 4542
MH17A,NA - At delivery place did healthcare providers 4548
MH17B,NA - At delivery place did healthcare providers 4554
MH17C,NA - At delivery place did healthcare providers 4560
MH17D,NA - At delivery place did healthcare providers 4566
MH17E,NA - At delivery place did healthcare providers 4572
MH18A,NA - During stay at health facility: shared bed 4578
MH18B,NA - During stay at health facility: rest/sleep 4584
MH18C,NA - During stay at health facility: CS
MH18D,NA - During stay at health facility: CS
MH19,NA - During stay at health facility were denied 4602
MH20,NA - Were delayed or prevented to leave facilit 4608
MH21A,NA - During stay staff at health facility: slap 4614
MH21B,NA - During stay staff at health facility: hit
MH21C,NA - During stay staff at health facility: phys 4626
MH21D,NA - During stay staff at health facility: phys 4632
MH21E,NA - During stay staff at health facility: CS
MH21F,NA - During stay staff at health facility: CS
MH22A,NA - During stay staff at health facility: shou 4650
MH22B,NA - During stay staff at health facility: say
MH22C,NA - During stay staff at health facility: verb 4662
MH22D,NA - During stay staff at health facility: verb 4668
MH22E,NA - During stay staff at health facility: CS
MH22F,NA - During stay staff at health facility: CS
MH23,NA - Did health facility have toilet/latrine fo 4686
MH24,NA - At any time wanted to use toilet/latrine b 4692
MH25,NA - Where did baby stay in first two days afte 4698
V400,Line number of child used for questions on liqu 4704
V409,Gave child plain water
V409A,NA - Gave child sugar water
V410,Gave child fruit juice/fruit flavored drinks
V410A,Gave child tea or coffee/herbal drinks
V410AS,Tea or coffee/herbal drink was sweetened
V411,"Gave child tinned, powdered or fresh milk"
V411S,"Tinned, powdered or fresh milk was sweetened"
V411A,Gave child baby formula
V412,NA - Gave child fresh milk
V412A,"NA - Gave child fortified baby food (cerelac, e 4715"
V412B,NA - Gave child other porridge/gruel
V412C,Gave child soup/clear broth
V413,Gave child other liquid
V413S,NA - Other liquid was sweetened
V413A,Gave child yogurt as a drink
V413AS,Yogurt as a drink was sweetened
V413B,Gave child soy milk
V413BS,Soy milk was sweetened
V413C,Gave child chocolate flavored drinks
V413D,Gave child sodas/malt/sports/energy drinks
V413E,NA - Gave child CS liquid
V413F,NA - Gave child CS liquid
